Data,Número do pedido,Serviço,UF,CEP,Município,Valor previsto,Frete,Peso bruto (gr),Peso Bruto (Kg),Faixa de Peso,Total da Venda
13/11/2021,56,.Package,RJ,22061-030,Rio de Janeiro,23,25,2000,2,1,185
27/11/2021,62,.Package,PR,80220-070,Curitiba,78,25,20000,20,9,809
30/11/2021,64,.Package,RS,90520-000,Porto Alegre,18,25,4000,4,2,385
04/12/2021,70,.Package,RJ,22080-040,Rio de Janeiro,21,25,1000,1,1,97
06/12/2021,73,.Package,PR,81940-210,Curitiba,29,25,2000,2,1,145
06/12/2021,72,.Package,RN,59090-430,Natal,43,25,2000,2,1,185
06/12/2021,71,.Package,GO,74210-050,Goiânia,30,25,2000,2,1,145
20/12/2021,79,.Package,RS,91350-090,Porto Alegre,15,25,1000,1,1,105
31/12/2021,88,.Package,GO,74210-050,Goiânia,57,25,8000,8,4,435
05/01/2022,90,.Package,RJ,22793-810,Rio de Janeiro,21,25,1000,1,1,85
06/01/2022,91,.Package,RS,90470-460,Porto Alegre,15,25,2000,2,1,145
11/01/2022,95,.Package,PR,80220-070,Curitiba,102,40,25000,25,9,1161
14/01/2022,96,.Package,RS,96600-000,Canguçu,88,40,17000,17,9,1010
15/01/2022,99,.Package,RJ,22790-669,Rio de Janeiro,31,68,4000,4,2,318
14/01/2022,98,.Package,RJ,22450-130,Rio de Janeiro,31,68,4000,4,2,318
31/01/2022,102,.Package,PR,80220-070,Curitiba,30,40,6000,6,3,306
03/02/2022,103,.Package,SP,05438-100,São Paulo,25,25,3000,3,2,205
12/02/2022,111,.Package,SP,04511-011,São Paulo,25,25,3000,3,2,185
14/02/2022,112,.Package,RJ,22793-298,Rio de Janeiro,23,25,2000,2,1,121
18/02/2022,113,.Package,RJ,22630-012,Rio de Janeiro,30,25,4000,4,2,225
21/02/2022,115,.Package,RS,90470-150,Porto Alegre,20,25,4000,4,2,275
22/02/2022,116,.Package,RJ,22441-040,Rio de Janeiro,24,25,1000,1,1,81
02/03/2022,119,.Package,SP,15150-000,Monte Aprazível,32,25,2000,2,1,125
15/03/2022,120,.Package,PR,80220-070,Curitiba,20,40,1000,1,1,10
20/03/2022,121,.Package,RS,90430-080,Porto Alegre,17,25,2000,2,1,145
28/03/2022,123,.Package,RS,96600-000,Canguçu,30,40,4000,4,2,220
04/04/2022,125,.Package,RS,90430-130,Porto Alegre,17,25,2000,2,1,145
23/03/2022,126,.Package,SP,01433-010,São Paulo,30,25,4000,4,2,255
08/04/2022,128,.Package,SP,15150-000,Monte Aprazível,32,25,2000,2,1,125
18/04/2022,129,.Package,RS,96600-000,Canguçu,25,40,2000,2,1,96
18/04/2022,130,.Package,SP,05727-230,São Paulo,29,40,4000,4,2,157
18/04/2022,131,.Package,SP,18706-675,Avaré,31,25,4000,4,2,250
19/04/2022,132,.Package,SC,89251-730,Jaraguá do Sul,23,25,6000,6,3,265
19/04/2022,133,.Package,RJ,22776-050,Rio de Janeiro,33,40,4000,4,2,157
22/04/2022,134,.Package,RS,95905-503,Lajeado,21,25,4000,4,2,285
20/04/2022,135,.Package,RJ,24220-091,Niterói,33,25,3000,3,2,205
26/04/2022,137,.Package,RJ,22280-110,Rio de Janeiro,27,25,2000,2,1,105
25/04/2022,139,.Package,PE,54420-010,Jaboatão dos Guararapes,54,25,3000,3,2,169
22/04/2022,140,.Package,RJ,22631-350,Rio de Janeiro,27,25,2000,2,1,145
26/04/2022,143,.Package,RJ,22411-072,Rio de Janeiro,27,25,2000,2,1,121
05/05/2022,155,.Package,SP,05727-230,São Paulo,108,40,24000,24,9,24
03/05/2022,156,.Package,RJ,22793-095,Rio de Janeiro,27,25,2000,2,1,121
09/05/2022,162,.Package,SC,88056-000,Florianópolis,64,40,12000,12,6,600
09/05/2022,160,.Package,RJ,22776-050,Rio de Janeiro,145,40,24000,24,9,1000
05/05/2022,169,.Package,SP,08240-165,São Paulo,30,25,1000,1,1,85
17/05/2022,172,.Package,RJ,22776-050,Rio de Janeiro,146,40,24000,24,9,1000
20/05/2022,173,.Package,RJ,22776-050,Rio de Janeiro,277,40,48000,48,9,1000
20/05/2022,174,.Package,RJ,22776-050,Rio de Janeiro,146,40,24000,24,9,1000
20/05/2022,175,.Package,RJ,22776-050,Rio de Janeiro,146,40,24000,24,9,1000
24/05/2022,177,.Package,PR,80230-110,Curitiba,30,40,4000,4,2,234
17/05/2022,178,.Package,SP,13301-862,Itu,25,25,2000,2,1,145
25/05/2022,179,.Package,PE,54420-010,Jaboatão dos Guararapes,55,25,3000,3,2,169
02/06/2022,185,.Package,RS,90410-003,Porto Alegre,18,25,2000,2,1,165
07/06/2022,188,.Package,RS,95670-150,Gramado,38,40,12000,12,6,456
07/06/2022,189,.Package,SP,05727-230,São Paulo,61,40,12000,12,6,528
07/06/2022,191,.Package,SP,04714-000,São Paulo,29,40,3000,3,2,195
07/06/2022,192,.Package,SP,04714-000,São Paulo,29,40,3000,3,2,132
08/06/2022,198,.Package,RJ,22793-120,Rio de Janeiro,27,25,2000,2,1,165
13/06/2022,199,.Package,SC,88056-000,Florianópolis,46,40,8000,8,4,352
14/06/2022,201,.Package,SP,13202-500,Jundiaí,23,40,200,0,1,20
18/06/2022,206,.Package,SC,89803-904,Chapecó,26,25,2000,2,1,175
28/06/2022,196,.Package,RJ,22776-050,Rio de Janeiro,146,40,24000,24,9,1000
28/06/2022,211,.Package,RJ,22776-050,Rio de Janeiro,146,40,24000,24,9,1000
26/06/2022,209,.Package,RJ,22793-298,Rio de Janeiro,27,25,2000,2,1,165
27/06/2022,210,.Package,RJ,22030-002,Rio de Janeiro,25,25,1000,1,1,85
30/06/2022,212,.Package,SP,04074-031,São Paulo,116,40,24000,24,9,757
01/07/2022,214,.Package,SP,05727-230,São Paulo,114,40,24000,24,9,696
01/07/2022,215,.Package,RS,91450-155,Porto Alegre,17,25,1000,1,1,95
05/07/2022,218,.Package,RS,98670-000,Humaitá,40,25,3000,3,2,245
04/07/2022,219,.Package,RJ,22051-030,Rio de Janeiro,27,25,2000,2,1,170
08/07/2022,220,.Package,RJ,22461-220,Rio de Janeiro,27,25,2000,2,1,141
11/07/2022,221,.Package,PR,80220-070,Curitiba,24,40,2000,2,1,111
18/07/2022,223,.Package,SP,05051-030,São Paulo,25,40,2000,2,1,130
18/07/2022,225,.Package,SP,05565-200,São Paulo,23,40,2300,2,2,100
19/07/2022,227,.Package,SP,01456-030,São Paulo,25,40,2000,2,1,120
19/07/2022,228,.Package,SP,13202-500,Jundiaí,42,40,5300,5,3,300
26/07/2022,229,.Package,RJ,22231-090,Rio de Janeiro,25,40,1000,1,1,75
26/07/2022,235,.Package,RJ,22630-010,Rio de Janeiro,37,25,4000,4,2,285
26/07/2022,234,.Package,SP,06544-620,Santana de Parnaíba,25,25,2000,2,1,155
28/07/2022,238,.Package,SP,05706-290,São Paulo,221,40,45440,45,9,1832
18/08/2022,276,.Package,RJ,22210-065,Rio de Janeiro,27,25,2000,2,1,137
16/08/2022,259,.Package,RS,94965-340,Cachoeirinha,24,25,4000,4,2,265
22/08/2022,277,.Package,SP,03110-010,São Paulo,39,40,6000,6,3,360
23/08/2022,278,.Package,SP,01449-050,São Paulo,24,40,2000,2,1,110
30/08/2022,284,.Package,MG,30431-054,Belo Horizonte,33,25,3000,3,2,215
28/08/2022,282,.Package,RJ,22470-060,Rio de Janeiro,27,25,2000,2,1,121
01/09/2022,285,.Package,RS,94965-340,Cachoeirinha,19,40,200,0,1,2
01/09/2022,286,.Package,RJ,22776-050,Rio de Janeiro,54,40,8000,8,4,400
01/09/2022,287,.Package,SP,05089-000,São Paulo,47,40,8000,8,4,400
13/09/2022,290,.Package,BA,47802-434,Barreiras,46,40,2000,2,1,120
15/09/2022,294,.Package,RJ,22270-000,Rio de Janeiro,24,25,1000,1,1,81
22/09/2022,296,.Package,SP,01306-010,São Paulo,24,25,2000,2,1,165
22/09/2022,295,.Package,RJ,22793-810,Rio de Janeiro,24,25,1000,1,1,95
28/09/2022,297,.Package,SP,05089-000,São Paulo,60,40,12000,12,6,720
29/09/2022,300,.Package,SP,04509-001,São Paulo,23,25,2000,2,1,165
01/10/2022,303,.Package,RJ,22631-005,Rio de Janeiro,24,25,1000,1,1,89
02/10/2022,302,.Package,RS,95940-000,Arroio do Meio,20,25,2000,2,1,165
04/10/2022,304,.Package,RJ,27515-020,Resende,29,25,2000,2,1,165
07/10/2022,307,.Package,SP,01321-001,São Paulo,64,40,11500,12,6,800
10/10/2022,308,.Package,SP,04074-031,São Paulo,21,40,1000,1,1,55
10/10/2022,309,.Package,RJ,22776-050,Rio de Janeiro,25,40,2000,2,1,100
11/10/2022,310,.Package,SP,05416-002,São Paulo,23,40,2000,2,1,110
10/10/2022,311,.Package,RS,91230-754,Porto Alegre,16,25,1000,1,1,110
13/10/2022,312,.Package,SP,04619-001,São Paulo,23,40,2000,2,1,110
17/10/2022,318,.Package,SP,04533-900,São Paulo,81,40,16000,16,,1000
07/11/2022,336,.Package,RJ,25535-261,São João de Meriti,27,25,1000,1,1,89
05/11/2022,337,.Package,RJ,22250-020,Rio de Janeiro,24,25,1000,1,1,89
09/11/2022,346,.Package,DF,70373-020,Brasília,35,40,2000,2,1,28
09/11/2022,347,.Package,DF,71665-185,Brasília,35,40,2000,2,1,28
09/11/2022,348,.Package,RJ,22441-120,Rio de Janeiro,26,40,2000,2,1,28
09/11/2022,349,.Package,RJ,22441-000,Rio de Janeiro,26,40,2000,2,1,28
09/11/2022,350,.Package,PR,82015-090,Curitiba,24,40,2000,2,1,28
09/11/2022,351,.Package,SP,13419-130,Piracicaba,24,40,2000,2,1,28
11/11/2022,356,.Package,RJ,22776-050,Rio de Janeiro,212,40,36000,36,9,1500
16/11/2022,359,.Package,SP,04510-030,São Paulo,32,25,4000,4,2,355
17/11/2022,360,.Package,RJ,22795-078,Rio de Janeiro,26,40,1200,1,1,60
17/11/2022,361,.Package,RS,91920-520,Porto Alegre,17,40,1200,1,1,60
17/11/2022,362,.Package,RS,95700-278,Bento Gonçalves,20,40,1200,1,1,60
27/11/2022,395,.Package,SP,02345-030,São Paulo,34,25,4000,4,2,355
27/11/2022,396,.Package,SP,01235-020,São Paulo,34,25,4000,4,2,355
27/11/2022,400,.Package,RJ,21832-147,Rio de Janeiro,38,25,3000,3,2,265
27/11/2022,399,.Package,SP,01333-001,São Paulo,34,25,4000,4,2,355
27/11/2022,398,.Package,SP,02524-020,São Paulo,32,25,4000,4,2,355
27/11/2022,397,.Package,SP,13870-382,São João da Boa Vista,36,25,4000,4,2,355
28/11/2022,404,.Package,SP,05175-100,São Paulo,25,25,2000,2,1,190
29/11/2022,405,.Package,SP,09811-370,São Bernardo do Campo,32,25,4000,4,2,355
28/11/2022,406,.Package,MG,33239-210,Lagoa Santa,40,25,4000,4,2,355
27/11/2022,407,.Package,SP,13044-162,Campinas,32,25,4000,4,2,355
27/11/2022,409,.Package,SP,04514-041,São Paulo,24,25,2000,2,1,195
29/11/2022,415,.Package,RJ,22280-020,Rio de Janeiro,27,25,2000,2,1,190
29/11/2022,417,.Package,SP,08715-150,Mogi das Cruzes,33,25,4000,4,2,355
26/11/2022,418,.Package,RS,90035-073,Porto Alegre,21,25,4000,4,2,355
29/11/2022,410,.Package,MS,79800-021,Dourados,32,25,2000,2,1,195
28/11/2022,408,.Package,SP,05707-001,São Paulo,22,25,1000,1,1,110
01/12/2022,423,.Package,PR,80420-210,Curitiba,30,25,4000,4,2,355
30/11/2022,422,.Package,MG,34580-530,Sabará,24,25,1000,1,1,105
30/11/2022,421,.Package,AM,69050-077,Manaus,46,25,1000,1,1,110
30/11/2022,420,.Package,SP,05014-000,São Paulo,22,25,1000,1,1,105
01/12/2022,425,.Package,PR,80520-120,Curitiba,30,25,4000,4,2,355
02/12/2022,426,.Package,GO,74843-100,Goiânia,29,25,1000,1,1,110
01/12/2022,428,.Package,MT,78050-242,Cuiabá,46,25,4000,4,2,355
01/12/2022,429,.Package,DF,70382-100,Brasília,36,25,2000,2,1,185
01/12/2022,427,.Package,SP,11432-130,Guarujá,25,25,2000,2,1,185
04/12/2022,447,.Package,MG,30240-440,Belo Horizonte,27,25,2000,2,1,190
04/12/2022,446,.Package,DF,70773-010,Brasília,36,25,2000,2,1,190
04/12/2022,445,.Package,SP,08475-410,São Paulo,28,25,1000,1,1,105
04/12/2022,444,.Package,SP,02312-070,São Paulo,24,25,2000,2,1,190
04/12/2022,443,.Package,AM,69050-000,Manaus,69,25,4000,4,2,355
04/12/2022,442,.Package,SP,02064-120,São Paulo,34,25,4000,4,2,355
04/12/2022,441,.Package,SP,07024-170,Guarulhos,22,25,1000,1,1,105
04/12/2022,440,.Package,SP,04601-003,São Paulo,32,25,4000,4,2,355
04/12/2022,439,.Package,SP,12490-000,São Bento do Sapucaí,44,25,2000,2,1,190
04/12/2022,438,.Package,PB,58039-151,João Pessoa,50,25,2000,2,1,185
26/11/2022,401,.Package,SC,88061-220,Florianópolis,40,25,6000,6,3,525
04/12/2022,437,.Package,MT,78310-000,Comodoro,95,25,3000,3,2,270
04/12/2022,436,.Package,SP,09710-215,São Bernardo do Campo,22,25,1000,1,1,105
02/12/2022,455,.Package,SP,07080-120,Guarulhos,22,25,1000,1,1,105
03/12/2022,448,.Package,PE,50610-100,Recife,50,25,2000,2,1,195
03/12/2022,449,.Package,SP,17352-486,Igaraçu do Tietê,27,25,2000,2,1,185
03/12/2022,450,.Package,BA,48120-000,Pojuca,92,25,1000,1,1,105
05/12/2022,456,.Package,SC,88010-120,Florianópolis,22,25,1000,1,1,110
04/12/2022,435,.Package,BA,45585-000,Itagibá,120,25,2000,2,1,185
04/12/2022,434,.Package,MT,78895-390,Sorriso,108,25,4000,4,2,355
04/12/2022,433,.Package,PR,82120-320,Curitiba,24,25,2000,2,1,195
04/12/2022,432,.Package,SP,04006-010,São Paulo,22,25,1000,1,1,105
03/12/2022,454,.Package,SP,12230-082,São José dos Campos,33,25,4000,4,2,350
03/12/2022,453,.Package,PR,81200-100,Curitiba,24,25,2000,2,1,195
03/12/2022,452,.Package,SP,03021-090,São Paulo,32,25,4000,4,2,355
03/12/2022,451,.Package,SP,12244-070,São José dos Campos,23,25,1000,1,1,105
05/12/2022,457,.Package,RJ,22210-080,Rio de Janeiro,36,25,4000,4,2,355
06/12/2022,462,.Package,SP,05006-000,São Paulo,22,25,1000,1,1,110
05/12/2022,464,.Package,SP,03334-010,São Paulo,24,25,2000,2,1,190
05/12/2022,463,.Package,RJ,25535-261,São João de Meriti,27,25,1000,1,1,89
02/12/2022,466,.Package,PR,87013-260,Maringá,32,25,4000,4,2,355
01/12/2022,467,.Package,RS,95900-022,Lajeado,21,25,2000,2,1,190
30/11/2022,468,.Package,SP,08743-030,Mogi das Cruzes,25,25,2000,2,1,185
06/12/2022,469,.Package,DF,70774-050,Brasília,43,25,4000,4,2,330
06/12/2022,470,.Package,PR,80050-250,Curitiba,24,25,2000,2,1,190
06/12/2022,471,.Package,SC,89042-010,Blumenau,26,25,2000,2,1,190
06/12/2022,476,.Package,MA,65071-383,São Luís,59,25,4000,4,2,355
06/12/2022,475,.Package,SP,07252-000,Guarulhos,22,25,1000,1,1,105
06/12/2022,474,.Package,SC,88111-150,São José,22,25,1000,1,1,110
07/12/2022,486,.Package,SP,01535-000,São Paulo,24,25,2000,2,1,195
07/12/2022,485,.Package,SP,11055-150,Santos,32,25,3000,3,2,275
07/12/2022,494,.Package,SP,04671-300,São Paulo,24,25,2000,2,1,190
07/12/2022,523,.Package,SP,09030-310,Santo André,24,25,2000,2,1,190
07/12/2022,524,.Package,DF,71540-086,Brasília,28,25,1000,1,1,105
08/12/2022,517,.Package,SP,11660-040,Caraguatatuba,35,25,4000,4,2,355
08/12/2022,518,.Package,SP,09030-310,Santo André,23,25,2000,2,1,185
08/12/2022,519,.Package,SP,14600-000,São Joaquim da Barra,24,25,1000,1,1,105
08/12/2022,520,.Package,DF,70754-000,Brasília,41,25,4000,4,2,355
08/12/2022,522,.Package,SP,13044-163,Campinas,24,25,2000,2,1,190
09/12/2022,514,.Package,SP,13590-000,Dourado,64,30,4000,4,2,360
09/12/2022,516,.Package,RJ,27255-320,Volta Redonda,25,25,1000,1,1,105
10/12/2022,508,.Package,RS,97110-620,Santa Maria,18,30,2000,2,1,195
10/12/2022,509,.Package,SP,05717-250,São Paulo,24,30,2000,2,1,195
10/12/2022,510,.Package,ES,29090-130,Vitória,30,30,2000,2,1,195
10/12/2022,511,.Package,SP,06236-020,Osasco,24,30,2000,2,1,200
10/12/2022,512,.Package,MG,36770-014,Cataguases,39,30,4000,4,2,360
10/12/2022,513,.Package,SP,14027-250,Ribeirão Preto,22,30,1000,1,1,110
11/12/2022,497,.Package,SP,04140-080,São Paulo,21,30,1000,1,1,110
11/12/2022,498,.Package,SP,06540-325,Santana de Parnaíba,31,30,4000,4,2,360
11/12/2022,499,.Package,SP,01532-030,São Paulo,21,30,1000,1,1,110
11/12/2022,500,.Package,SP,15085-485,São José do Rio Preto,22,30,1000,1,1,110
11/12/2022,501,.Package,SE,49025-040,Aracaju,49,30,4000,4,2,360
11/12/2022,502,.Package,MT,78600-086,Barra do Garças,105,30,4000,4,2,360
